[agent10] LR=4 LD=5 HR=5 HD=5
[agent9] LR=7 LD=1 HR=0 HD=7
[agent2] LR=8 LD=0 HR=0 HD=7
[agent6] LR=7 LD=0 HR=0 HD=2
[agent4] LR=7 LD=1 HR=0 HD=7
[agent7] LR=9 LD=0 HR=0 HD=7
[agent3] LR=10 LD=0 HR=0 HD=7
[agent8] LR=7 LD=1 HR=0 HD=4
[agent1] LR=6 LD=1 HR=0 HD=5
[agent5] LR=7 LD=0 HR=0 HD=5
[agent0] LR=7 LD=2 HR=0 HD=6
[agent6] LR=9 LD=0 HR=2 HD=3
[agent2] LR=10 LD=0 HR=0 HD=9
[agent8] LR=8 LD=0 HR=1 HD=5
[agent4] LR=8 LD=0 HR=0 HD=7
[agent7] LR=9 LD=0 HR=1 HD=8
[agent1] LR=7 LD=0 HR=0 HD=7
[agent3] LR=10 LD=0 HR=0 HD=9
[agent10] LR=5 LD=4 HR=6 HD=5
[agent0] LR=8 LD=1 HR=1 HD=7
[agent9] LR=9 LD=0 HR=2 HD=8
[agent5] LR=8 LD=0 HR=1 HD=7
