[agent10] LR=4 LD=4 HR=5 HD=4
[agent5] LR=7 LD=0 HR=0 HD=7
[agent6] LR=7 LD=2 HR=0 HD=4
[agent2] LR=7 LD=2 HR=0 HD=4
[agent7] LR=7 LD=1 HR=0 HD=4
[agent0] LR=7 LD=2 HR=0 HD=4
[agent4] LR=7 LD=2 HR=0 HD=4
[agent9] LR=10 LD=0 HR=0 HD=7
[agent8] LR=7 LD=2 HR=0 HD=7
[agent3] LR=7 LD=1 HR=0 HD=3
[agent1] LR=7 LD=0 HR=0 HD=7
[agent3] LR=7 LD=1 HR=1 HD=4
[agent0] LR=8 LD=1 HR=0 HD=5
[agent4] LR=7 LD=1 HR=0 HD=5
[agent7] LR=7 LD=0 HR=2 HD=5
[agent10] LR=5 LD=3 HR=6 HD=5
[agent8] LR=8 LD=1 HR=1 HD=7
[agent9] LR=10 LD=0 HR=1 HD=8
[agent6] LR=7 LD=1 HR=1 HD=5
[agent2] LR=8 LD=1 HR=1 HD=5
[agent1] LR=8 LD=0 HR=0 HD=8
[agent5] LR=8 LD=0 HR=0 HD=8
