[agent10] LR=4 LD=4 HR=4 HD=4
[agent3] LR=8 LD=2 HR=0 HD=7
[agent4] LR=6 LD=2 HR=4 HD=6
[agent1] LR=8 LD=1 HR=0 HD=7
[agent6] LR=9 LD=0 HR=0 HD=7
[agent2] LR=10 LD=0 HR=0 HD=9
[agent8] LR=7 LD=2 HR=2 HD=4
[agent7] LR=7 LD=0 HR=3 HD=7
[agent0] LR=7 LD=2 HR=2 HD=4
[agent9] LR=10 LD=0 HR=0 HD=10
[agent5] LR=7 LD=1 HR=3 HD=6
[agent3] LR=9 LD=2 HR=0 HD=8
[agent7] LR=7 LD=0 HR=3 HD=7
[agent5] LR=7 LD=1 HR=3 HD=6
[agent0] LR=7 LD=2 HR=2 HD=5
[agent8] LR=7 LD=2 HR=2 HD=4
[agent9] LR=10 LD=0 HR=0 HD=10
[agent10] LR=5 LD=3 HR=4 HD=5
[agent2] LR=10 LD=0 HR=0 HD=9
[agent4] LR=7 LD=2 HR=5 HD=7
[agent6] LR=10 LD=0 HR=0 HD=8
[agent1] LR=8 LD=1 HR=0 HD=7
