from,to,weight
convai_agent_1,convai_agent_267,
convai_agent_2,convai_agent_246,
convai_agent_3,convai_agent_246,
convai_agent_4,convai_agent_243,
convai_agent_4,convai_agent_853,
convai_agent_5,convai_agent_161,
convai_agent_5,convai_agent_920,
convai_agent_5,convai_agent_966,
convai_agent_6,convai_agent_109,
convai_agent_6,convai_agent_181,
convai_agent_7,convai_agent_778,
convai_agent_7,convai_agent_1014,
convai_agent_8,convai_agent_139,
convai_agent_8,convai_agent_776,
convai_agent_9,convai_agent_267,
convai_agent_10,convai_agent_267,
convai_agent_11,convai_agent_243,
convai_agent_11,convai_agent_246,
convai_agent_11,convai_agent_247,
convai_agent_12,convai_agent_161,
convai_agent_12,convai_agent_920,
convai_agent_13,convai_agent_920,
convai_agent_14,convai_agent_246,
convai_agent_15,convai_agent_916,
convai_agent_16,convai_agent_72,
convai_agent_16,convai_agent_246,
convai_agent_16,convai_agent_558,
convai_agent_17,convai_agent_246,
convai_agent_17,convai_agent_763,
convai_agent_17,convai_agent_946,
convai_agent_18,convai_agent_161,
convai_agent_19,convai_agent_267,
convai_agent_20,convai_agent_267,
convai_agent_21,convai_agent_246,
convai_agent_22,convai_agent_267,
convai_agent_23,convai_agent_267,
convai_agent_24,convai_agent_246,
convai_agent_25,convai_agent_94,
convai_agent_25,convai_agent_262,
convai_agent_26,convai_agent_267,
convai_agent_27,convai_agent_267,
convai_agent_28,convai_agent_267,
convai_agent_29,convai_agent_246,
convai_agent_30,convai_agent_246,
convai_agent_30,convai_agent_458,
convai_agent_31,convai_agent_267,
convai_agent_32,convai_agent_267,
convai_agent_33,convai_agent_246,
convai_agent_34,convai_agent_246,
convai_agent_35,convai_agent_246,
convai_agent_36,convai_agent_267,
convai_agent_37,convai_agent_94,
convai_agent_38,convai_agent_72,
convai_agent_38,convai_agent_246,
convai_agent_38,convai_agent_986,
convai_agent_39,convai_agent_246,
convai_agent_40,convai_agent_246,
convai_agent_41,convai_agent_267,
convai_agent_42,convai_agent_438,
convai_agent_43,convai_agent_267,
convai_agent_43,convai_agent_597,
convai_agent_44,convai_agent_61,
convai_agent_45,convai_agent_68,
convai_agent_45,convai_agent_216,
convai_agent_45,convai_agent_297,
convai_agent_45,convai_agent_598,
convai_agent_45,convai_agent_929,
convai_agent_46,convai_agent_250,
convai_agent_46,convai_agent_920,
convai_agent_47,convai_agent_207,
convai_agent_48,convai_agent_246,
convai_agent_48,convai_agent_310,
convai_agent_48,convai_agent_317,
convai_agent_48,convai_agent_954,
convai_agent_49,convai_agent_244,
convai_agent_49,convai_agent_267,
convai_agent_50,convai_agent_562,
convai_agent_51,convai_agent_267,
convai_agent_52,convai_agent_238,
convai_agent_52,convai_agent_702,
convai_agent_53,convai_agent_320,
convai_agent_54,convai_agent_246,
convai_agent_55,convai_agent_232,
convai_agent_55,convai_agent_246,
convai_agent_56,convai_agent_88,
convai_agent_56,convai_agent_912,
convai_agent_57,convai_agent_934,
convai_agent_58,convai_agent_267,
convai_agent_59,convai_agent_267,
convai_agent_60,convai_agent_273,
convai_agent_60,convai_agent_869,
convai_agent_60,convai_agent_905,
convai_agent_61,convai_agent_262,
convai_agent_62,convai_agent_161,
convai_agent_63,convai_agent_250,
convai_agent_64,convai_agent_98,
convai_agent_64,convai_agent_137,
convai_agent_64,convai_agent_868,
convai_agent_65,convai_agent_267,
convai_agent_66,convai_agent_246,
convai_agent_67,convai_agent_349,
convai_agent_68,convai_agent_45,
convai_agent_68,convai_agent_250,
convai_agent_68,convai_agent_560,
convai_agent_68,convai_agent_920,
convai_agent_69,convai_agent_250,
convai_agent_69,convai_agent_281,
convai_agent_70,convai_agent_267,
convai_agent_71,convai_agent_246,
convai_agent_72,convai_agent_246,
convai_agent_73,convai_agent_246,
convai_agent_74,convai_agent_97,
convai_agent_74,convai_agent_246,
convai_agent_75,convai_agent_267,
convai_agent_76,convai_agent_585,
convai_agent_77,convai_agent_267,
convai_agent_78,convai_agent_250,
convai_agent_78,convai_agent_281,
convai_agent_78,convai_agent_920,
convai_agent_79,convai_agent_246,
convai_agent_80,convai_agent_267,
convai_agent_81,convai_agent_250,
convai_agent_82,convai_agent_246,
convai_agent_83,convai_agent_246,
convai_agent_84,convai_agent_250,
convai_agent_84,convai_agent_920,
convai_agent_85,convai_agent_161,
convai_agent_85,convai_agent_250,
convai_agent_85,convai_agent_258,
convai_agent_85,convai_agent_281,
convai_agent_85,convai_agent_920,
convai_agent_86,convai_agent_246,
convai_agent_87,convai_agent_246,
convai_agent_88,convai_agent_56,
convai_agent_89,convai_agent_161,
convai_agent_90,convai_agent_137,
convai_agent_91,convai_agent_161,
convai_agent_91,convai_agent_850,
convai_agent_91,convai_agent_920,
convai_agent_92,convai_agent_267,
convai_agent_93,convai_agent_909,
convai_agent_94,convai_agent_262,
convai_agent_94,convai_agent_920,
convai_agent_95,convai_agent_267,
convai_agent_96,convai_agent_276,
convai_agent_97,convai_agent_74,
convai_agent_98,convai_agent_64,
convai_agent_98,convai_agent_137,
convai_agent_99,convai_agent_898,
convai_agent_100,convai_agent_250,
convai_agent_100,convai_agent_612,
convai_agent_101,convai_agent_246,
convai_agent_102,convai_agent_267,
convai_agent_103,convai_agent_267,
convai_agent_104,convai_agent_246,
convai_agent_105,convai_agent_310,
convai_agent_106,convai_agent_246,
