agent,attribute,value
convai_agent_1,pusr,0.009029
convai_agent_2,pusr,0.026016
convai_agent_3,pusr,0.015917
convai_agent_4,pusr,0.079416
convai_agent_5,pusr,0.06356
convai_agent_6,pusr,0.064603
convai_agent_7,pusr,0.027858
convai_agent_8,pusr,0.023305
convai_agent_9,pusr,0.059197
convai_agent_10,pusr,0.059509
convai_agent_11,pusr,0.013431
convai_agent_12,pusr,0.027692
convai_agent_13,pusr,0.027057
convai_agent_14,pusr,0.039266
convai_agent_15,pusr,0.016786
convai_agent_16,pusr,0.023433
convai_agent_17,pusr,0.046107
convai_agent_18,pusr,0.06422
convai_agent_19,pusr,0.064785
convai_agent_20,pusr,0.003503
convai_agent_21,pusr,0.046474
convai_agent_22,pusr,0.033512
convai_agent_23,pusr,0.01224
convai_agent_24,pusr,0.079205
convai_agent_25,pusr,0.059234
convai_agent_26,pusr,0.025516
convai_agent_27,pusr,0.013868
convai_agent_28,pusr,0.015225
convai_agent_29,pusr,0.027636
convai_agent_30,pusr,0.043602
convai_agent_31,pusr,0.007099
convai_agent_32,pusr,0.03946
convai_agent_33,pusr,0.049111
convai_agent_34,pusr,0.010894
convai_agent_35,pusr,0.023705
convai_agent_36,pusr,0.059583
convai_agent_37,pusr,0.068317
convai_agent_38,pusr,0.029371
convai_agent_39,pusr,0.024232
convai_agent_40,pusr,0.065997
convai_agent_41,pusr,0.045824
convai_agent_42,pusr,0.078854
convai_agent_43,pusr,0.035443
convai_agent_44,pusr,0.015181
convai_agent_45,pusr,0.043553
convai_agent_46,pusr,0.063021
convai_agent_47,pusr,0.013788
convai_agent_48,pusr,0.059828
convai_agent_49,pusr,0.060362
convai_agent_50,pusr,0.024036
convai_agent_51,pusr,0.053911
convai_agent_52,pusr,0.047693
convai_agent_53,pusr,0.053371
convai_agent_54,pusr,0.048444
convai_agent_55,pusr,0.058469
convai_agent_56,pusr,0.038719
convai_agent_57,pusr,0.06621
convai_agent_58,pusr,0.041717
convai_agent_59,pusr,0.013225
convai_agent_60,pusr,0.071425
convai_agent_61,pusr,0.059952
convai_agent_62,pusr,0.055034
convai_agent_63,pusr,0.039762
convai_agent_64,pusr,0.056589
convai_agent_65,pusr,0.068115
convai_agent_66,pusr,0.042026
convai_agent_67,pusr,0.027807
convai_agent_68,pusr,0.02816
convai_agent_69,pusr,0.042892
convai_agent_70,pusr,0.004425
convai_agent_71,pusr,0.011952
convai_agent_72,pusr,0.034376
convai_agent_73,pusr,0.041216
convai_agent_74,pusr,0.014318
convai_agent_75,pusr,0.01081
convai_agent_76,pusr,0.054301
convai_agent_77,pusr,0.04758
convai_agent_78,pusr,0.057989
convai_agent_79,pusr,0.079678
convai_agent_80,pusr,0.00387
convai_agent_81,pusr,0.016206
convai_agent_82,pusr,0.019726
convai_agent_83,pusr,0.01797
convai_agent_84,pusr,0.042855
convai_agent_85,pusr,0.030248
convai_agent_86,pusr,0.025205
convai_agent_87,pusr,0.040625
convai_agent_88,pusr,0.028313
convai_agent_89,pusr,0.018515
convai_agent_90,pusr,0.070937
convai_agent_91,pusr,0.050403
convai_agent_92,pusr,0.052275
convai_agent_93,pusr,0.032588
convai_agent_94,pusr,0.08
convai_agent_95,pusr,0.059183
