agent,attribute,value
convai_agent_1,pusr,0.000352
convai_agent_2,pusr,0.00021
convai_agent_3,pusr,0.001878
convai_agent_4,pusr,4e-06
convai_agent_5,pusr,2.9e-05
convai_agent_6,pusr,1.2e-05
convai_agent_7,pusr,0.000697
convai_agent_8,pusr,0.00919
convai_agent_9,pusr,0.004475
convai_agent_10,pusr,0.003816
convai_agent_11,pusr,3.1e-05
convai_agent_12,pusr,0.004126
convai_agent_13,pusr,3.2e-05
convai_agent_14,pusr,8e-06
convai_agent_15,pusr,0.000225
convai_agent_16,pusr,0.002701
convai_agent_17,pusr,8e-06
convai_agent_18,pusr,0.000869
convai_agent_19,pusr,1.3e-05
convai_agent_20,pusr,3.1e-05
convai_agent_21,pusr,9e-06
convai_agent_22,pusr,0.007812
convai_agent_23,pusr,0.000205
convai_agent_24,pusr,3.6e-05
convai_agent_25,pusr,1.8e-05
convai_agent_26,pusr,0.001377
convai_agent_27,pusr,2.7e-05
convai_agent_28,pusr,1.3e-05
convai_agent_29,pusr,0.000182
convai_agent_30,pusr,7e-06
convai_agent_31,pusr,0.003657
convai_agent_32,pusr,0.000534
convai_agent_33,pusr,1.4e-05
convai_agent_34,pusr,0.011869
convai_agent_35,pusr,9e-06
convai_agent_36,pusr,0.008554
convai_agent_37,pusr,0.000696
convai_agent_38,pusr,7e-06
convai_agent_39,pusr,1.4e-05
convai_agent_40,pusr,4e-06
convai_agent_41,pusr,0.000182
convai_agent_42,pusr,9e-06
convai_agent_43,pusr,0.000546
convai_agent_44,pusr,4e-06
convai_agent_45,pusr,0.007801
convai_agent_46,pusr,0.000372
convai_agent_47,pusr,0.00254
convai_agent_48,pusr,4.2e-05
convai_agent_49,pusr,0.026973
convai_agent_50,pusr,2.5e-05
convai_agent_51,pusr,1e-05
convai_agent_52,pusr,0.00021
convai_agent_53,pusr,0.000721
convai_agent_54,pusr,1.1e-05
convai_agent_55,pusr,1.5e-05
convai_agent_56,pusr,3.6e-05
convai_agent_57,pusr,3e-05
convai_agent_58,pusr,4.2e-05
convai_agent_59,pusr,0.000204
convai_agent_60,pusr,0.007116
convai_agent_61,pusr,0.001881
convai_agent_62,pusr,0.006998
convai_agent_63,pusr,0.002862
convai_agent_64,pusr,0.014756
convai_agent_65,pusr,1.3e-05
convai_agent_66,pusr,0.001371
convai_agent_67,pusr,1.1e-05
convai_agent_68,pusr,0.008942
convai_agent_69,pusr,0.000377
convai_agent_70,pusr,4e-06
convai_agent_71,pusr,2.7e-05
convai_agent_72,pusr,0.005658
convai_agent_73,pusr,0.003671
convai_agent_74,pusr,0.037234
convai_agent_75,pusr,0.000194
convai_agent_76,pusr,0.09989
convai_agent_77,pusr,0.060764
convai_agent_78,pusr,4e-06
convai_agent_79,pusr,0.018018
convai_agent_80,pusr,0.003508
convai_agent_81,pusr,0.000983
convai_agent_82,pusr,1e-05
convai_agent_83,pusr,0.005076
convai_agent_84,pusr,0.000218
convai_agent_85,pusr,0.051062
convai_agent_86,pusr,0.004898
convai_agent_87,pusr,0.000534
convai_agent_88,pusr,0.000546
convai_agent_89,pusr,0.002386
convai_agent_90,pusr,0.024219
convai_agent_91,pusr,0.000214
convai_agent_92,pusr,0.00138
convai_agent_93,pusr,0.022581
convai_agent_94,pusr,3e-06
convai_agent_95,pusr,0.039541
convai_agent_96,pusr,0.009193
convai_agent_97,pusr,0.000225
convai_agent_98,pusr,0.021188
convai_agent_99,pusr,0.005799
convai_agent_100,pusr,5e-06
convai_agent_101,pusr,0.003676
convai_agent_102,pusr,0.00019
convai_agent_103,pusr,0.008106
convai_agent_104,pusr,1.9e-05
convai_agent_105,pusr,0.000176
convai_agent_106,pusr,1.6e-05
convai_agent_107,pusr,0.000182
convai_agent_108,pusr,0.000185
convai_agent_109,pusr,0.000545
convai_agent_110,pusr,0.037091
convai_agent_111,pusr,1.6e-05
convai_agent_112,pusr,2.8e-05
convai_agent_113,pusr,2e-06
convai_agent_114,pusr,1.7e-05
convai_agent_115,pusr,0.000208
convai_agent_116,pusr,0.007956
convai_agent_117,pusr,0.006387
convai_agent_118,pusr,0.046428
convai_agent_119,pusr,0.001034
convai_agent_120,pusr,2.3e-05
convai_agent_121,pusr,0.004443
convai_agent_122,pusr,0.000213
convai_agent_123,pusr,0.036483
convai_agent_124,pusr,0.000871
convai_agent_125,pusr,0.000692
convai_agent_126,pusr,0.004599
convai_agent_127,pusr,0.000376
convai_agent_128,pusr,2.7e-05
convai_agent_129,pusr,0.008908
convai_agent_130,pusr,0.00056
convai_agent_131,pusr,2.2e-05
convai_agent_132,pusr,0.002206
convai_agent_133,pusr,0.000871
convai_agent_134,pusr,0.006161
convai_agent_135,pusr,0.000352
convai_agent_136,pusr,0.000185
convai_agent_137,pusr,0.001885
convai_agent_138,pusr,0.000183
convai_agent_139,pusr,0.000232
convai_agent_140,pusr,4.2e-05
convai_agent_141,pusr,0.002225
convai_agent_142,pusr,2.1e-05
convai_agent_143,pusr,0.001052
convai_agent_144,pusr,9e-06
convai_agent_145,pusr,0.015496
convai_agent_146,pusr,0.00253
convai_agent_147,pusr,0.001535
convai_agent_148,pusr,7e-06
convai_agent_149,pusr,0.071925
convai_agent_150,pusr,0.014495
convai_agent_151,pusr,0.039761
convai_agent_152,pusr,0.041213
convai_agent_153,pusr,0.000548
convai_agent_154,pusr,0.044088
convai_agent_155,pusr,0.0549
convai_agent_156,pusr,0.000554
convai_agent_157,pusr,0.00018
convai_agent_158,pusr,8e-06
convai_agent_159,pusr,0.002719
convai_agent_160,pusr,0.001042
convai_agent_161,pusr,0.024928
convai_agent_162,pusr,0.016858
convai_agent_163,pusr,0.002207
convai_agent_164,pusr,1.3e-05
convai_agent_165,pusr,1e-06
convai_agent_166,pusr,0.001025
convai_agent_167,pusr,4e-06
convai_agent_168,pusr,0.001539
convai_agent_169,pusr,1.3e-05
convai_agent_170,pusr,0.0024
convai_agent_171,pusr,4.2e-05
convai_agent_172,pusr,0.000178
convai_agent_173,pusr,4.5e-05
convai_agent_174,pusr,0.015186
convai_agent_175,pusr,0.000194
convai_agent_176,pusr,0.000377
convai_agent_177,pusr,3e-06
convai_agent_178,pusr,0.001039
convai_agent_179,pusr,1.1e-05
convai_agent_180,pusr,1e-05
convai_agent_181,pusr,6e-06
convai_agent_182,pusr,0.003039
convai_agent_183,pusr,3.5e-05
convai_agent_184,pusr,0.010014
convai_agent_185,pusr,2.5e-05
convai_agent_186,pusr,0.000364
convai_agent_187,pusr,9e-06
convai_agent_188,pusr,0.000521
convai_agent_189,pusr,0.000352
convai_agent_190,pusr,0.00018
convai_agent_191,pusr,0.00475
convai_agent_192,pusr,0.005943
convai_agent_193,pusr,0.000354
convai_agent_194,pusr,0.000387
convai_agent_195,pusr,0.005955
convai_agent_196,pusr,0.000532
convai_agent_197,pusr,0.005796
convai_agent_198,pusr,0.010233
convai_agent_199,pusr,1.1e-05
convai_agent_200,pusr,1e-05
convai_agent_201,pusr,2.4e-05
convai_agent_202,pusr,3.5e-05
convai_agent_203,pusr,0.000526
convai_agent_204,pusr,0.000704
convai_agent_205,pusr,1.7e-05
convai_agent_206,pusr,2.3e-05
convai_agent_207,pusr,0.003504
convai_agent_208,pusr,0.000229
convai_agent_209,pusr,9e-06
convai_agent_210,pusr,0.000178
convai_agent_211,pusr,0.000179
convai_agent_212,pusr,7e-06
convai_agent_213,pusr,0.011237
convai_agent_214,pusr,0.001546
convai_agent_215,pusr,0.000532
convai_agent_216,pusr,1.1e-05
convai_agent_217,pusr,1.1e-05
convai_agent_218,pusr,0.012418
convai_agent_219,pusr,0.000732
convai_agent_220,pusr,1e-05
convai_agent_221,pusr,1.1e-05
convai_agent_222,pusr,0.000184
convai_agent_223,pusr,0.000524
convai_agent_224,pusr,4e-06
convai_agent_225,pusr,0.001208
convai_agent_226,pusr,0.007384
convai_agent_227,pusr,0.041575
convai_agent_228,pusr,6e-06
convai_agent_229,pusr,1.2e-05
convai_agent_230,pusr,1.1e-05
convai_agent_231,pusr,0.000193
convai_agent_232,pusr,0.000189
convai_agent_233,pusr,1.1e-05
convai_agent_234,pusr,0.000378
