agent,attribute,value
convai_llm_agent_1,followers_count,10
convai_llm_agent_1,friends_count,42
convai_llm_agent_1,listed_count,2
convai_llm_agent_1,verified,False
convai_llm_agent_2,followers_count,288
convai_llm_agent_2,friends_count,215
convai_llm_agent_2,listed_count,1
convai_llm_agent_2,verified,False
convai_llm_agent_3,followers_count,359
convai_llm_agent_3,friends_count,604
convai_llm_agent_3,listed_count,11
convai_llm_agent_3,verified,False
convai_llm_agent_4,followers_count,55
convai_llm_agent_4,friends_count,392
convai_llm_agent_4,listed_count,0
convai_llm_agent_4,verified,False
convai_llm_agent_5,followers_count,106
convai_llm_agent_5,friends_count,103
convai_llm_agent_5,listed_count,0
convai_llm_agent_5,verified,False
convai_llm_agent_6,followers_count,28
convai_llm_agent_6,friends_count,63
convai_llm_agent_6,listed_count,0
convai_llm_agent_6,verified,False
convai_llm_agent_7,followers_count,246
convai_llm_agent_7,friends_count,664
convai_llm_agent_7,listed_count,4
convai_llm_agent_7,verified,False
convai_llm_agent_8,followers_count,2068
convai_llm_agent_8,friends_count,1656
convai_llm_agent_8,listed_count,60
convai_llm_agent_8,verified,False
convai_llm_agent_9,followers_count,1088
convai_llm_agent_9,friends_count,509
convai_llm_agent_9,listed_count,27
convai_llm_agent_9,verified,False
convai_llm_agent_10,followers_count,1087
convai_llm_agent_10,friends_count,1362
convai_llm_agent_10,listed_count,23
convai_llm_agent_10,verified,False
convai_llm_agent_11,followers_count,277
convai_llm_agent_11,friends_count,245
convai_llm_agent_11,listed_count,0
convai_llm_agent_11,verified,False
convai_llm_agent_12,followers_count,1122
convai_llm_agent_12,friends_count,1579
convai_llm_agent_12,listed_count,25
convai_llm_agent_12,verified,False
convai_llm_agent_13,followers_count,213
convai_llm_agent_13,friends_count,184
convai_llm_agent_13,listed_count,0
convai_llm_agent_13,verified,False
convai_llm_agent_14,followers_count,61
convai_llm_agent_14,friends_count,214
convai_llm_agent_14,listed_count,0
convai_llm_agent_14,verified,False
convai_llm_agent_15,followers_count,350
convai_llm_agent_15,friends_count,186
convai_llm_agent_15,listed_count,1
convai_llm_agent_15,verified,False
convai_llm_agent_16,followers_count,1603
convai_llm_agent_16,friends_count,2002
convai_llm_agent_16,listed_count,16
convai_llm_agent_16,verified,False
convai_llm_agent_17,followers_count,20
convai_llm_agent_17,friends_count,66
convai_llm_agent_17,listed_count,0
convai_llm_agent_17,verified,False
convai_llm_agent_18,followers_count,186
convai_llm_agent_18,friends_count,448
convai_llm_agent_18,listed_count,5
convai_llm_agent_18,verified,False
convai_llm_agent_19,followers_count,45
