agent,pinf,pmd,pad,popi,prd,state,susceptible
convai_agent_1,0.05,0.1,0.05,0.2,0.2,neutral,true
convai_agent_2,0.05,0.075,0.05,0.25,0.1,neutral,false
convai_agent_3,0.1,0.05,0.15,0.25,0.1,neutral,false
convai_agent_4,0.1,0.05,0.1,0.25,0.2,neutral,false
convai_agent_5,0.1,0.05,0.1,0.1,0.3,neutral,false
convai_agent_6,0.05,0.1,0.1,0.15,0.4,neutral,false
convai_agent_7,0.05,0.1,0.05,0.15,0.1,neutral,false
convai_agent_8,0.075,0.1,0.075,0.15,0.4,neutral,false
convai_agent_9,0.05,0.05,0.15,0.25,0.1,neutral,false
convai_agent_10,0.15,0.05,0.1,0.2,0.1,neutral,true
convai_agent_11,0.05,0.05,0.1,0.1,0.1,neutral,false
convai_agent_12,0.05,0.05,0.05,0.25,0.4,neutral,false
convai_agent_13,0.05,0.075,0.075,0.25,0.4,neutral,false
convai_agent_14,0.1,0.05,0.05,0.25,0.4,neutral,false
convai_agent_15,0.1,0.05,0.1,0.15,0.4,neutral,false
convai_agent_16,0.15,0.1,0.1,0.1,0.3,neutral,false
convai_agent_17,0.05,0.05,0.05,0.25,0.2,neutral,false
convai_agent_18,0.15,0.1,0.15,0.25,0.4,neutral,false
convai_agent_19,0.05,0.075,0.05,0.15,0.2,neutral,false
convai_agent_20,0.075,0.1,0.075,0.15,0.4,neutral,false
convai_agent_21,0.15,0.05,0.1,0.15,0.3,neutral,false
convai_agent_22,0.1,0.05,0.1,0.1,0.1,neutral,false
convai_agent_23,0.15,0.05,0.15,0.15,0.2,neutral,false
convai_agent_24,0.1,0.05,0.15,0.25,0.3,neutral,false
convai_agent_25,0.05,0.05,0.05,0.1,0.4,neutral,false
convai_agent_26,0.05,0.1,0.15,0.1,0.2,neutral,false
convai_agent_27,0.15,0.05,0.1,0.2,0.1,neutral,false
convai_agent_28,0.1,0.1,0.1,0.25,0.3,neutral,false
convai_agent_29,0.1,0.05,0.15,0.25,0.3,neutral,true
convai_agent_30,0.05,0.1,0.1,0.25,0.4,neutral,false
convai_agent_31,0.1,0.05,0.05,0.25,0.3,neutral,false
convai_agent_32,0.1,0.1,0.1,0.25,0.1,neutral,true
convai_agent_33,0.05,0.1,0.05,0.15,0.1,neutral,false
convai_agent_34,0.05,0.05,0.15,0.25,0.4,neutral,false
convai_agent_35,0.15,0.05,0.05,0.1,0.3,neutral,false
convai_agent_36,0.05,0.1,0.05,0.1,0.2,neutral,false
convai_agent_37,0.05,0.1,0.075,0.15,0.4,neutral,true
convai_agent_38,0.05,0.1,0.075,0.1,0.1,neutral,false
convai_agent_39,0.1,0.05,0.15,0.15,0.4,neutral,false
convai_agent_40,0.05,0.075,0.05,0.15,0.3,neutral,false
convai_agent_41,0.15,0.05,0.15,0.2,0.4,neutral,false
convai_agent_42,0.15,0.1,0.15,0.1,0.3,neutral,true
convai_agent_43,0.05,0.1,0.05,0.25,0.4,neutral,false
convai_agent_44,0.15,0.05,0.05,0.1,0.2,neutral,false
convai_agent_45,0.05,0.05,0.15,0.2,0.1,neutral,false
convai_agent_46,0.15,0.1,0.15,0.2,0.3,neutral,false
convai_agent_47,0.1,0.1,0.05,0.15,0.3,neutral,false
convai_agent_48,0.1,0.1,0.15,0.2,0.2,neutral,false
convai_agent_49,0.1,0.05,0.05,0.1,0.3,neutral,false
convai_agent_50,0.05,0.05,0.15,0.1,0.4,neutral,false
convai_agent_51,0.05,0.05,0.1,0.15,0.4,neutral,false
convai_agent_52,0.1,0.05,0.1,0.15,0.1,neutral,false
convai_agent_53,0.05,0.1,0.05,0.15,0.1,neutral,false
convai_agent_54,0.05,0.05,0.15,0.2,0.1,neutral,false
convai_agent_55,0.1,0.05,0.1,0.15,0.4,neutral,false
convai_agent_56,0.05,0.1,0.05,0.1,0.4,neutral,false
convai_agent_57,0.075,0.075,0.05,0.1,0.3,neutral,false
convai_agent_58,0.05,0.075,0.075,0.25,0.3,neutral,false
convai_agent_59,0.15,0.05,0.15,0.2,0.1,neutral,false
convai_agent_60,0.1,0.1,0.15,0.2,0.3,neutral,true
convai_agent_61,0.05,0.1,0.075,0.1,0.4,neutral,true
convai_agent_62,0.05,0.1,0.075,0.25,0.2,neutral,true
convai_agent_63,0.05,0.1,0.075,0.15,0.2,neutral,true
convai_agent_64,0.1,0.05,0.05,0.2,0.4,neutral,false
convai_agent_65,0.1,0.05,0.15,0.2,0.1,neutral,false
convai_agent_66,0.05,0.075,0.075,0.15,0.1,neutral,false
convai_agent_67,0.05,0.1,0.15,0.15,0.4,neutral,false
convai_agent_68,0.075,0.1,0.075,0.1,0.2,neutral,false
convai_agent_69,0.05,0.075,0.05,0.25,0.2,neutral,false
convai_agent_70,0.05,0.1,0.075,0.1,0.4,neutral,false
convai_agent_71,0.15,0.05,0.15,0.25,0.1,neutral,false
convai_agent_72,0.15,0.05,0.05,0.1,0.3,neutral,false
