from,to,weight
convai_agent_1,convai_agent_43853,
convai_agent_2,convai_agent_10942,
convai_agent_3,convai_agent_50648,
convai_agent_4,convai_agent_40055,
convai_agent_5,convai_agent_11467,
convai_agent_6,convai_agent_7636,
convai_agent_7,convai_agent_10781,
convai_agent_8,convai_agent_23491,
convai_agent_9,convai_agent_3147,
convai_agent_9,convai_agent_33628,
convai_agent_10,convai_agent_11119,
convai_agent_11,convai_agent_37340,
convai_agent_11,convai_agent_52810,
convai_agent_12,convai_agent_52949,
convai_agent_13,convai_agent_34032,
convai_agent_14,convai_agent_15696,
convai_agent_14,convai_agent_35127,
convai_agent_15,convai_agent_13563,
convai_agent_16,convai_agent_45023,
convai_agent_17,convai_agent_45023,
convai_agent_18,convai_agent_23443,
convai_agent_19,convai_agent_10924,
convai_agent_20,convai_agent_38034,
convai_agent_21,convai_agent_6558,
convai_agent_22,convai_agent_5258,
convai_agent_23,convai_agent_30490,
convai_agent_23,convai_agent_37340,
convai_agent_24,convai_agent_13563,
convai_agent_25,convai_agent_10942,
convai_agent_25,convai_agent_15536,
convai_agent_25,convai_agent_18590,
convai_agent_25,convai_agent_27360,
convai_agent_26,convai_agent_10781,
convai_agent_27,convai_agent_40063,
convai_agent_28,convai_agent_297,
convai_agent_29,convai_agent_16922,
convai_agent_29,convai_agent_29713,
convai_agent_29,convai_agent_48830,
convai_agent_30,convai_agent_45023,
convai_agent_31,convai_agent_1792,
convai_agent_32,convai_agent_7782,
convai_agent_32,convai_agent_32816,
convai_agent_33,convai_agent_50298,
convai_agent_34,convai_agent_45023,
convai_agent_35,convai_agent_4047,
convai_agent_35,convai_agent_6860,
convai_agent_35,convai_agent_7705,
convai_agent_35,convai_agent_7782,
convai_agent_35,convai_agent_15695,
convai_agent_35,convai_agent_19618,
convai_agent_35,convai_agent_32816,
convai_agent_35,convai_agent_33785,
convai_agent_35,convai_agent_37115,
convai_agent_35,convai_agent_37584,
convai_agent_35,convai_agent_38605,
convai_agent_35,convai_agent_39475,
convai_agent_35,convai_agent_45052,
convai_agent_35,convai_agent_53249,
convai_agent_35,convai_agent_53758,
convai_agent_36,convai_agent_14536,
