agent,attribute,value
convai_agent_1,pusr,0.061375
convai_agent_2,pusr,0.046224
convai_agent_3,pusr,0.019024
convai_agent_4,pusr,0.01832
convai_agent_5,pusr,0.045865
convai_agent_6,pusr,0.02916
convai_agent_7,pusr,0.058273
convai_agent_8,pusr,0.033381
convai_agent_9,pusr,0.074294
convai_agent_10,pusr,0.037614
convai_agent_11,pusr,0.032566
convai_agent_12,pusr,0.013152
convai_agent_13,pusr,0.027629
convai_agent_14,pusr,0.054646
convai_agent_15,pusr,0.031911
convai_agent_16,pusr,0.025714
convai_agent_17,pusr,0.069866
convai_agent_18,pusr,0.044785
convai_agent_19,pusr,0.04118
convai_agent_20,pusr,0.029473
convai_agent_21,pusr,0.03323
convai_agent_22,pusr,0.045261
convai_agent_23,pusr,0.074196
convai_agent_24,pusr,0.014105
convai_agent_25,pusr,0.056246
convai_agent_26,pusr,0.038361
convai_agent_27,pusr,0.017024
convai_agent_28,pusr,0.058661
convai_agent_29,pusr,0.072982
convai_agent_30,pusr,0.01962
convai_agent_31,pusr,0.073775
convai_agent_32,pusr,0.005818
convai_agent_33,pusr,0.010978
convai_agent_34,pusr,0.017346
convai_agent_35,pusr,0.062419
convai_agent_36,pusr,0.00829
convai_agent_37,pusr,0.055744
convai_agent_38,pusr,0.023955
convai_agent_39,pusr,0.023635
convai_agent_40,pusr,0.035135
convai_agent_41,pusr,0.002996
convai_agent_42,pusr,0.050998
convai_agent_43,pusr,0.047081
convai_agent_44,pusr,0.070206
convai_agent_45,pusr,0.058814
convai_agent_46,pusr,0.057203
convai_agent_47,pusr,0.059996
convai_agent_48,pusr,0.079999
convai_agent_49,pusr,0.019989
convai_agent_50,pusr,0.059833
convai_agent_51,pusr,0.028083
convai_agent_52,pusr,0.02523
convai_agent_53,pusr,0.037581
convai_agent_54,pusr,0.033577
convai_agent_55,pusr,0.017858
convai_agent_56,pusr,0.066279
convai_agent_57,pusr,0.030171
convai_agent_58,pusr,0.030342
convai_agent_59,pusr,0.025803
convai_agent_60,pusr,0.008904
convai_agent_61,pusr,0.078499
convai_agent_62,pusr,0.012363
convai_agent_63,pusr,0.028206
convai_agent_64,pusr,0.051572
convai_agent_65,pusr,0.032252
convai_agent_66,pusr,0.016367
convai_agent_67,pusr,0.012286
convai_agent_68,pusr,0.079984
convai_agent_69,pusr,0.07796
convai_agent_70,pusr,0.033843
convai_agent_71,pusr,0.022506
convai_agent_72,pusr,0.013826
convai_agent_73,pusr,0.029132
convai_agent_74,pusr,0.061606
convai_agent_75,pusr,0.028929
convai_agent_76,pusr,0.006055
convai_agent_77,pusr,0.032017
convai_agent_78,pusr,0.046295
convai_agent_79,pusr,0.091713
convai_agent_80,pusr,0.050138
convai_agent_81,pusr,0.015313
convai_agent_82,pusr,0.023204
convai_agent_83,pusr,0.065313
convai_agent_84,pusr,0.079471
convai_agent_85,pusr,0.049068
convai_agent_86,pusr,0.079451
convai_agent_87,pusr,0.05854
convai_agent_88,pusr,0.079786
convai_agent_89,pusr,0.061708
convai_agent_90,pusr,0.074106
convai_agent_91,pusr,0.1
convai_agent_92,pusr,0.032253
convai_agent_93,pusr,0.04353
convai_agent_94,pusr,0.073531
convai_agent_95,pusr,0.029269
convai_agent_96,pusr,0.025986
convai_agent_97,pusr,0.059051
convai_agent_98,pusr,0.012287
convai_agent_99,pusr,0.044956
convai_agent_100,pusr,0.063051
convai_agent_101,pusr,0.054228
convai_agent_102,pusr,0.069086
convai_agent_103,pusr,0.050066
convai_agent_104,pusr,0.065993
convai_agent_105,pusr,0.057306
convai_agent_106,pusr,0.034681
convai_agent_107,pusr,0.076446
convai_agent_108,pusr,0.058767
convai_agent_109,pusr,0.076739
convai_agent_110,pusr,0.054826
convai_agent_111,pusr,0.026209
convai_agent_112,pusr,0.017098
convai_agent_113,pusr,0.066283
convai_agent_114,pusr,0.024593
convai_agent_115,pusr,0.074539
convai_agent_116,pusr,0.078544
convai_agent_117,pusr,0.031001
convai_agent_118,pusr,0.046765
convai_agent_119,pusr,0.046827
convai_agent_120,pusr,0.022428
convai_agent_121,pusr,0.024476
convai_agent_122,pusr,0.014017
convai_agent_123,pusr,0.051117
convai_agent_124,pusr,0.051977
convai_agent_125,pusr,0.053721
convai_agent_126,pusr,0.037886
convai_agent_127,pusr,0.037003
convai_agent_128,pusr,0.018318
convai_agent_129,pusr,0.017832
convai_agent_130,pusr,0.079814
convai_agent_131,pusr,0.045023
convai_agent_132,pusr,0.029737
convai_agent_133,pusr,0.051958
convai_agent_134,pusr,0.007206
convai_agent_135,pusr,0.08
convai_agent_136,pusr,0.01866
convai_agent_137,pusr,0.023213
convai_agent_138,pusr,0.011307
convai_agent_139,pusr,0.047273
convai_agent_140,pusr,0.031937
convai_agent_141,pusr,0.01294
convai_agent_142,pusr,0.036374
convai_agent_143,pusr,0.022924
convai_agent_144,pusr,0.053013
convai_agent_145,pusr,0.027184
convai_agent_146,pusr,0.013661
convai_agent_147,pusr,0.05179
convai_agent_148,pusr,0.062297
convai_agent_149,pusr,0.025891
convai_agent_150,pusr,0.056693
convai_agent_151,pusr,0.079921
convai_agent_152,pusr,0.005555
convai_agent_153,pusr,0.063029
convai_agent_154,pusr,0.075258
convai_agent_155,pusr,0.064763
convai_agent_156,pusr,0.051999
convai_agent_157,pusr,0.083019
convai_agent_158,pusr,0.013388
convai_agent_159,pusr,0.056102
convai_agent_160,pusr,0.02167
convai_agent_161,pusr,0.077137
convai_agent_162,pusr,0.039527
convai_agent_163,pusr,0.058475
convai_agent_164,pusr,0.071731
convai_agent_165,pusr,0.08
convai_agent_166,pusr,0.018785
convai_agent_167,pusr,0.044543
convai_agent_168,pusr,0.024261
convai_agent_169,pusr,0.028792
convai_agent_170,pusr,0.031024
convai_agent_171,pusr,0.021827
convai_agent_172,pusr,0.037879
convai_agent_173,pusr,0.075383
convai_agent_174,pusr,0.059585
convai_agent_175,pusr,0.024204
convai_agent_176,pusr,0.075664
convai_agent_177,pusr,0.072944
convai_agent_178,pusr,0.064155
convai_agent_179,pusr,0.057715
convai_agent_180,pusr,0.06445
convai_agent_181,pusr,0.075402
convai_agent_182,pusr,0.006756
convai_agent_183,pusr,0.044476
convai_agent_184,pusr,0.065987
convai_agent_185,pusr,0.027627
convai_agent_186,pusr,0.078831
convai_agent_187,pusr,0.054889
convai_agent_188,pusr,0.071631
convai_agent_189,pusr,0.031692
convai_agent_190,pusr,0.026657
convai_agent_191,pusr,0.052174
convai_agent_192,pusr,0.013463
convai_agent_193,pusr,0.068978
convai_agent_194,pusr,0.016273
convai_agent_195,pusr,0.01276
convai_agent_196,pusr,0.011909
convai_agent_197,pusr,0.025991
convai_agent_198,pusr,0.055377
convai_agent_199,pusr,0.036657
convai_agent_200,pusr,0.035826
convai_agent_201,pusr,0.046038
convai_agent_202,pusr,0.062269
convai_agent_203,pusr,0.048268
convai_agent_204,pusr,0.041385
convai_agent_205,pusr,0.009124
convai_agent_206,pusr,0.061633
convai_agent_207,pusr,0.009734
convai_agent_208,pusr,0.008551
convai_agent_209,pusr,0.004028
convai_agent_210,pusr,0.066294
convai_agent_211,pusr,0.079137
convai_agent_212,pusr,0.022281
convai_agent_213,pusr,0.071556
convai_agent_214,pusr,0.077878
convai_agent_215,pusr,0.063087
convai_agent_216,pusr,0.07135
convai_agent_217,pusr,0.062529
convai_agent_218,pusr,0.006182
convai_agent_219,pusr,0.016994
convai_agent_220,pusr,0.099992
convai_agent_221,pusr,0.079211
convai_agent_222,pusr,0.019395
convai_agent_223,pusr,0.065128
convai_agent_224,pusr,0.056688
convai_agent_225,pusr,0.024668
convai_agent_226,pusr,0.074432
convai_agent_227,pusr,0.044962
convai_agent_228,pusr,0.051792
convai_agent_229,pusr,0.063362
convai_agent_230,pusr,0.040475
convai_agent_231,pusr,0.050759
convai_agent_232,pusr,0.031414
convai_agent_233,pusr,0.08
convai_agent_234,pusr,0.015838
convai_agent_235,pusr,0.035134
convai_agent_236,pusr,0.051879
convai_agent_237,pusr,0.018707
convai_agent_238,pusr,0.02922
convai_agent_239,pusr,0.011551
convai_agent_240,pusr,0.062293
convai_agent_241,pusr,0.06228
convai_agent_242,pusr,0.05056
convai_agent_243,pusr,0.045926
convai_agent_244,pusr,0.071488
convai_agent_245,pusr,0.050181
convai_agent_246,pusr,0.021191
convai_agent_247,pusr,0.038288
convai_agent_248,pusr,0.056739
convai_agent_249,pusr,0.061294
convai_agent_250,pusr,0.028362
convai_agent_251,pusr,0.030962
convai_agent_252,pusr,0.054273
convai_agent_253,pusr,0.014821
convai_agent_254,pusr,0.029724
convai_agent_255,pusr,0.008824
convai_agent_256,pusr,0.05098
convai_agent_257,pusr,0.005728
convai_agent_258,pusr,0.066574
convai_agent_259,pusr,0.070726
convai_agent_260,pusr,0.06287
convai_agent_261,pusr,0.024914
convai_agent_262,pusr,0.068325
convai_agent_263,pusr,0.024717
convai_agent_264,pusr,0.07993
convai_agent_265,pusr,0.04524
convai_agent_266,pusr,0.034308
convai_agent_267,pusr,0.057841
convai_agent_268,pusr,0.003999
convai_agent_269,pusr,0.044597
convai_agent_270,pusr,0.045839
convai_agent_271,pusr,0.030196
convai_agent_272,pusr,0.031683
convai_agent_273,pusr,0.06374
convai_agent_274,pusr,0.028338
convai_agent_275,pusr,0.04998
convai_agent_276,pusr,0.045734
convai_agent_277,pusr,0.059447
convai_agent_278,pusr,0.020033
convai_agent_279,pusr,0.064543
convai_agent_280,pusr,0.063239
convai_agent_281,pusr,0.057142
convai_agent_282,pusr,0.052927
convai_agent_283,pusr,0.029905
convai_agent_284,pusr,0.038446
convai_agent_285,pusr,0.005913
convai_agent_286,pusr,0.010321
convai_agent_287,pusr,0.074401
convai_agent_288,pusr,0.08
convai_agent_289,pusr,0.074785
convai_agent_290,pusr,0.02703
convai_agent_291,pusr,0.024975
convai_agent_292,pusr,0.067118
convai_agent_293,pusr,0.004386
convai_agent_294,pusr,0.025539
convai_agent_295,pusr,0.013503
convai_agent_296,pusr,0.030317
convai_agent_297,pusr,0.1
convai_agent_298,pusr,0.072896
convai_agent_299,pusr,0.037335
convai_agent_300,pusr,0.061677
convai_agent_301,pusr,0.024499
convai_agent_302,pusr,0.036107
convai_agent_303,pusr,0.06857
convai_agent_304,pusr,0.06169
convai_agent_305,pusr,0.018342
convai_agent_306,pusr,0.030409
convai_agent_307,pusr,0.007844
convai_agent_308,pusr,0.027993
convai_agent_309,pusr,0.02272
convai_agent_310,pusr,0.025053
convai_agent_311,pusr,0.074052
convai_agent_312,pusr,0.024592
convai_agent_313,pusr,0.070776
convai_agent_314,pusr,0.045512
convai_agent_315,pusr,0.027931
convai_agent_316,pusr,0.019177
convai_agent_317,pusr,0.042133
convai_agent_318,pusr,0.052782
convai_agent_319,pusr,0.063494
convai_agent_320,pusr,0.084565
convai_agent_321,pusr,0.04098
convai_agent_322,pusr,0.061893
convai_agent_323,pusr,0.059325
convai_agent_324,pusr,0.066699
convai_agent_325,pusr,0.017921
convai_agent_326,pusr,0.041318
convai_agent_327,pusr,0.007298
convai_agent_328,pusr,0.024867
convai_agent_329,pusr,0.055945
convai_agent_330,pusr,0.03053
convai_agent_331,pusr,0.025656
convai_agent_332,pusr,0.08
convai_agent_333,pusr,0.065621
convai_agent_334,pusr,0.079991
convai_agent_335,pusr,0.033345
convai_agent_336,pusr,0.075593
convai_agent_337,pusr,0.066203
convai_agent_338,pusr,0.027948
convai_agent_339,pusr,0.063329
convai_agent_340,pusr,0.05056
convai_agent_341,pusr,0.065336
convai_agent_342,pusr,0.0586
convai_agent_343,pusr,0.077613
convai_agent_344,pusr,0.049075
convai_agent_345,pusr,0.064369
convai_agent_346,pusr,0.064302
convai_agent_347,pusr,0.011118
convai_agent_348,pusr,0.026173
convai_agent_349,pusr,0.061096
convai_agent_350,pusr,0.079922
convai_agent_351,pusr,0.031125
convai_agent_352,pusr,0.043052
convai_agent_353,pusr,0.034878
convai_agent_354,pusr,0.020039
convai_agent_355,pusr,0.00531
convai_agent_356,pusr,0.047777
convai_agent_357,pusr,0.04267
convai_agent_358,pusr,0.037235
convai_agent_359,pusr,0.017156
convai_agent_360,pusr,0.076339
convai_agent_361,pusr,0.021655
convai_agent_362,pusr,0.072589
convai_agent_363,pusr,0.030795
convai_agent_364,pusr,0.050065
convai_agent_365,pusr,0.023552
convai_agent_366,pusr,0.031095
convai_agent_367,pusr,0.026507
convai_agent_368,pusr,0.027354
convai_agent_369,pusr,0.072253
convai_agent_370,pusr,0.028509
convai_agent_371,pusr,0.045818
convai_agent_372,pusr,0.059165
convai_agent_373,pusr,0.077711
convai_agent_374,pusr,0.025419
convai_agent_375,pusr,0.024372
convai_agent_376,pusr,0.074243
convai_agent_377,pusr,0.015312
convai_agent_378,pusr,0.017915
convai_agent_379,pusr,0.061934
convai_agent_380,pusr,0.017447
convai_agent_381,pusr,0.035709
convai_agent_382,pusr,0.064124
convai_agent_383,pusr,0.061205
convai_agent_384,pusr,0.006558
convai_agent_385,pusr,0.06798
convai_agent_386,pusr,0.063367
convai_agent_387,pusr,0.051476
convai_agent_388,pusr,0.025688
convai_agent_389,pusr,0.1
convai_agent_390,pusr,0.021689
convai_agent_391,pusr,0.015134
convai_agent_392,pusr,0.1
convai_agent_393,pusr,0.1
convai_agent_394,pusr,0.013315
convai_agent_395,pusr,0.014287
convai_agent_396,pusr,0.008833
convai_agent_397,pusr,0.05294
convai_agent_398,pusr,0.077952
convai_agent_399,pusr,0.053495
convai_agent_400,pusr,0.028435
convai_agent_401,pusr,0.023465
convai_agent_402,pusr,0.013288
convai_agent_403,pusr,0.1
convai_agent_404,pusr,0.023665
convai_agent_405,pusr,0.02455
convai_agent_406,pusr,0.016587
convai_agent_407,pusr,0.06835
convai_agent_408,pusr,0.039842
convai_agent_409,pusr,0.02371
convai_agent_410,pusr,0.028262
convai_agent_411,pusr,0.060981
convai_agent_412,pusr,0.027581
convai_agent_413,pusr,0.004371
convai_agent_414,pusr,0.063978
convai_agent_415,pusr,0.047283
convai_agent_416,pusr,0.053862
convai_agent_417,pusr,0.007339
convai_agent_418,pusr,0.038651
convai_agent_419,pusr,0.06451
convai_agent_420,pusr,0.044532
convai_agent_421,pusr,0.062822
convai_agent_422,pusr,0.034667
convai_agent_423,pusr,0.042407
convai_agent_424,pusr,0.07968
convai_agent_425,pusr,0.047948
convai_agent_426,pusr,0.038905
convai_agent_427,pusr,0.046608
convai_agent_428,pusr,0.048809
convai_agent_429,pusr,0.032001
convai_agent_430,pusr,0.008181
convai_agent_431,pusr,0.030375
convai_agent_432,pusr,0.048335
convai_agent_433,pusr,0.028668
convai_agent_434,pusr,0.007913
convai_agent_435,pusr,0.058168
convai_agent_436,pusr,0.051013
convai_agent_437,pusr,0.057137
convai_agent_438,pusr,0.038211
convai_agent_439,pusr,0.013378
convai_agent_440,pusr,0.08
convai_agent_441,pusr,0.017714
convai_agent_442,pusr,0.062096
convai_agent_443,pusr,0.070265
convai_agent_444,pusr,0.013593
convai_agent_445,pusr,0.006431
convai_agent_446,pusr,0.096813
convai_agent_447,pusr,0.010486
convai_agent_448,pusr,0.059414
convai_agent_449,pusr,0.030851
convai_agent_450,pusr,0.043093
convai_agent_451,pusr,0.029626
convai_agent_452,pusr,0.027369
convai_agent_453,pusr,0.056757
convai_agent_454,pusr,0.030652
convai_agent_455,pusr,0.050858
convai_agent_456,pusr,0.025814
convai_agent_457,pusr,0.051408
convai_agent_458,pusr,0.022534
convai_agent_459,pusr,0.034077
convai_agent_460,pusr,0.046026
convai_agent_461,pusr,0.02394
convai_agent_462,pusr,0.077235
convai_agent_463,pusr,0.042817
convai_agent_464,pusr,0.053208
convai_agent_465,pusr,0.049089
convai_agent_466,pusr,0.016226
convai_agent_467,pusr,0.030781
convai_agent_468,pusr,0.079257
convai_agent_469,pusr,0.058733
convai_agent_470,pusr,0.008065
convai_agent_471,pusr,0.025869
convai_agent_472,pusr,0.047966
convai_agent_473,pusr,0.031766
convai_agent_474,pusr,0.055542
convai_agent_475,pusr,0.031926
convai_agent_476,pusr,0.061207
convai_agent_477,pusr,0.040508
convai_agent_478,pusr,0.010892
convai_agent_479,pusr,0.033047
convai_agent_480,pusr,0.024588
convai_agent_481,pusr,0.055912
convai_agent_482,pusr,0.02096
convai_agent_483,pusr,0.030466
convai_agent_484,pusr,0.018998
convai_agent_485,pusr,0.026177
convai_agent_486,pusr,0.017219
convai_agent_487,pusr,0.05403
convai_agent_488,pusr,0.079867
convai_agent_489,pusr,0.024166
convai_agent_490,pusr,0.024106
convai_agent_491,pusr,0.060068
convai_agent_492,pusr,0.053861
convai_agent_493,pusr,0.014121
convai_agent_494,pusr,0.063183
convai_agent_495,pusr,0.004722
convai_agent_496,pusr,0.024673
convai_agent_497,pusr,0.066126
convai_agent_498,pusr,0.063731
convai_agent_499,pusr,0.067085
convai_agent_500,pusr,0.03175
convai_agent_501,pusr,0.026448
convai_agent_502,pusr,0.054826
convai_agent_503,pusr,0.014523
convai_agent_504,pusr,0.044521
convai_agent_505,pusr,0.036968
convai_agent_506,pusr,0.068819
convai_agent_507,pusr,0.060897
convai_agent_508,pusr,0.044585
convai_agent_509,pusr,0.066924
convai_agent_510,pusr,0.051349
convai_agent_511,pusr,0.036304
convai_agent_512,pusr,0.028507
convai_agent_513,pusr,0.062275
convai_agent_514,pusr,0.062399
convai_agent_515,pusr,0.029144
convai_agent_516,pusr,0.046196
convai_agent_517,pusr,0.06063
convai_agent_518,pusr,0.065511
convai_agent_519,pusr,0.013265
convai_agent_520,pusr,0.024759
convai_agent_521,pusr,0.023682
convai_agent_522,pusr,0.048949
convai_agent_523,pusr,0.020647
convai_agent_524,pusr,0.0161
convai_agent_525,pusr,0.00798
convai_agent_526,pusr,0.060355
convai_agent_527,pusr,0.027991
convai_agent_528,pusr,0.036227
convai_agent_529,pusr,0.052291
convai_agent_530,pusr,0.024081
convai_agent_531,pusr,0.029664
convai_agent_532,pusr,0.024614
convai_agent_533,pusr,0.060137
convai_agent_534,pusr,0.026807
convai_agent_535,pusr,0.039901
convai_agent_536,pusr,0.064944
convai_agent_537,pusr,0.058187
convai_agent_538,pusr,0.066713
convai_agent_539,pusr,0.071359
convai_agent_540,pusr,0.076994
convai_agent_541,pusr,0.049266
convai_agent_542,pusr,0.049107
convai_agent_543,pusr,0.021116
convai_agent_544,pusr,0.068515
convai_agent_545,pusr,0.046586
convai_agent_546,pusr,0.053069
convai_agent_547,pusr,0.05977
convai_agent_548,pusr,0.055403
convai_agent_549,pusr,0.023271
convai_agent_550,pusr,0.032098
convai_agent_551,pusr,0.033122
convai_agent_552,pusr,0.063106
convai_agent_553,pusr,0.002723
convai_agent_554,pusr,0.019409
convai_agent_555,pusr,0.033997
convai_agent_556,pusr,0.069066
convai_agent_557,pusr,0.026186
convai_agent_558,pusr,0.007402
convai_agent_559,pusr,0.027922
convai_agent_560,pusr,0.062087
convai_agent_561,pusr,0.035797
convai_agent_562,pusr,0.042935
convai_agent_563,pusr,0.06014
convai_agent_564,pusr,0.064664
convai_agent_565,pusr,0.016704
convai_agent_566,pusr,0.056665
convai_agent_567,pusr,0.056054
convai_agent_568,pusr,0.01967
convai_agent_569,pusr,0.032448
