from,to,weight
convai_agent_1,convai_agent_2,
convai_agent_1,convai_agent_3,
convai_agent_1,convai_agent_4,
convai_agent_1,convai_agent_5,
convai_agent_1,convai_agent_6,
convai_agent_1,convai_agent_7,
convai_agent_1,convai_agent_8,
convai_agent_1,convai_agent_9,
convai_agent_1,convai_agent_10,
convai_agent_2,convai_agent_3,
convai_agent_2,convai_agent_4,
convai_agent_2,convai_agent_5,
convai_agent_2,convai_agent_6,
convai_agent_2,convai_agent_7,
convai_agent_2,convai_agent_8,
convai_agent_2,convai_agent_9,
convai_agent_2,convai_agent_10,
convai_agent_3,convai_agent_4,
convai_agent_3,convai_agent_5,
convai_agent_3,convai_agent_6,
convai_agent_3,convai_agent_7,
convai_agent_3,convai_agent_8,
convai_agent_3,convai_agent_9,
convai_agent_3,convai_agent_10,
convai_agent_4,convai_agent_5,
convai_agent_4,convai_agent_6,
convai_agent_4,convai_agent_7,
convai_agent_4,convai_agent_8,
convai_agent_4,convai_agent_9,
convai_agent_4,convai_agent_10,
convai_agent_5,convai_agent_6,
convai_agent_5,convai_agent_7,
convai_agent_5,convai_agent_8,
convai_agent_5,convai_agent_9,
convai_agent_5,convai_agent_10,
convai_agent_6,convai_agent_7,
convai_agent_6,convai_agent_8,
convai_agent_6,convai_agent_9,
convai_agent_6,convai_agent_10,
convai_agent_7,convai_agent_8,
convai_agent_7,convai_agent_9,
convai_agent_7,convai_agent_10,
convai_agent_8,convai_agent_9,
convai_agent_8,convai_agent_10,
convai_agent_9,convai_agent_10,
convai_agent_2,convai_agent_1,
convai_agent_3,convai_agent_1,
convai_agent_4,convai_agent_1,
convai_agent_5,convai_agent_1,
convai_agent_6,convai_agent_1,
convai_agent_7,convai_agent_1,
convai_agent_8,convai_agent_1,
convai_agent_9,convai_agent_1,
convai_agent_10,convai_agent_1,
convai_agent_3,convai_agent_2,
convai_agent_4,convai_agent_2,
convai_agent_5,convai_agent_2,
convai_agent_6,convai_agent_2,
convai_agent_7,convai_agent_2,
convai_agent_8,convai_agent_2,
convai_agent_9,convai_agent_2,
convai_agent_10,convai_agent_2,
convai_agent_4,convai_agent_3,
convai_agent_5,convai_agent_3,
convai_agent_6,convai_agent_3,
convai_agent_7,convai_agent_3,
convai_agent_8,convai_agent_3,
convai_agent_9,convai_agent_3,
convai_agent_10,convai_agent_3,
convai_agent_5,convai_agent_4,
convai_agent_6,convai_agent_4,
convai_agent_7,convai_agent_4,
convai_agent_8,convai_agent_4,
convai_agent_9,convai_agent_4,
convai_agent_10,convai_agent_4,
convai_agent_6,convai_agent_5,
convai_agent_7,convai_agent_5,
convai_agent_8,convai_agent_5,
convai_agent_9,convai_agent_5,
convai_agent_10,convai_agent_5,
convai_agent_7,convai_agent_6,
convai_agent_8,convai_agent_6,
convai_agent_9,convai_agent_6,
convai_agent_10,convai_agent_6,
convai_agent_8,convai_agent_7,
convai_agent_9,convai_agent_7,
convai_agent_10,convai_agent_7,
convai_agent_9,convai_agent_8,
convai_agent_10,convai_agent_8,
convai_agent_10,convai_agent_9,
