variant,config,metric,n,mean_delta,p_wilcoxon,sig_label
600,25pct_cautious,pct_infected_susc,9,-5.516190802145804,0.25,ns
600,25pct_cautious,pct_vaccinated_susc,9,-4.417013367355323,0.0390625,p<0.05
600,25pct_cautious,vax_effectiveness_susc,9,-0.5788311890228006,0.91015625,ns
600,25pct_cautious,trans_neutral_to_infected,9,1.0203741663564163,0.8203125,ns
600,25pct_cautious,trans_neutral_to_vaccinated,9,3.3998289594001596,0.01171875,p<0.05
600,25pct_cautious,trans_infected_to_vaccinated,9,-3.2520959778490326,0.07421875,p<0.10
600,25pct_cautious,trans_vaccinated_to_infected,9,-1.1681071479075458,0.5703125,ns
600,25pct_credulous,pct_infected_susc,9,-6.690398473528614,0.0546875,p<0.10
600,25pct_credulous,pct_vaccinated_susc,9,-4.989341301166061,0.09375,p<0.10
600,25pct_credulous,vax_effectiveness_susc,9,-1.5616472225162046,0.734375,ns
600,25pct_credulous,trans_neutral_to_infected,9,-1.518322107187261,0.8203125,ns
600,25pct_credulous,trans_neutral_to_vaccinated,9,-3.3844255334780238,0.01953125,p<0.05
600,25pct_credulous,trans_infected_to_vaccinated,9,2.735282146306204,0.01953125,p<0.05
600,25pct_credulous,trans_vaccinated_to_infected,9,2.1287508214980613,0.1640625,ns
600,50pct_cautious,pct_infected_susc,9,-15.021790395960283,0.00390625,p<0.01
600,50pct_cautious,pct_vaccinated_susc,9,-0.7825086078629546,0.8203125,ns
600,50pct_cautious,vax_effectiveness_susc,9,6.341457212294211,0.01171875,p<0.05
600,50pct_cautious,trans_neutral_to_infected,9,-2.980211058770768,0.42578125,ns
600,50pct_cautious,trans_neutral_to_vaccinated,9,6.992913264099194,0.00390625,p<0.01
600,50pct_cautious,trans_infected_to_vaccinated,9,-2.623018673888799,0.359375,ns
600,50pct_cautious,trans_vaccinated_to_infected,9,-1.3896835314396325,1.0,ns
600,50pct_credulous,pct_infected_susc,9,6.178367232485579,0.07421875,p<0.10
600,50pct_credulous,pct_vaccinated_susc,9,-3.420801307113131,0.25,ns
600,50pct_credulous,vax_effectiveness_susc,9,-5.752545449308512,0.09765625,p<0.10
600,50pct_credulous,trans_neutral_to_infected,9,3.464120242387684,0.203125,ns
600,50pct_credulous,trans_neutral_to_vaccinated,9,-3.9705797061416286,0.01171875,p<0.05
600,50pct_credulous,trans_infected_to_vaccinated,9,0.17308992298549816,1.0,ns
600,50pct_credulous,trans_vaccinated_to_infected,9,0.33336954076843817,0.734375,ns
600,75pct_cautious,pct_infected_susc,9,-17.66107144985131,0.00390625,p<0.01
600,75pct_cautious,pct_vaccinated_susc,9,0.46664458400012127,0.91015625,ns
600,75pct_cautious,vax_effectiveness_susc,9,9.996920411017438,0.01953125,p<0.05
600,75pct_cautious,trans_neutral_to_infected,9,-7.26775075465166,0.01171875,p<0.05
600,75pct_cautious,trans_neutral_to_vaccinated,9,11.957377448259958,0.00390625,p<0.01
600,75pct_cautious,trans_infected_to_vaccinated,9,-3.9123205790137834,0.0078125,p<0.01
600,75pct_cautious,trans_vaccinated_to_infected,9,-0.7773061145945217,0.203125,ns
600,75pct_credulous,pct_infected_susc,9,12.263892665815554,0.0390625,p<0.05
600,75pct_credulous,pct_vaccinated_susc,9,-10.243822854091462,0.00390625,p<0.01
600,75pct_credulous,vax_effectiveness_susc,9,-13.129889705100586,0.0078125,p<0.01
600,75pct_credulous,trans_neutral_to_infected,9,8.313935923245728,0.00390625,p<0.01
600,75pct_credulous,trans_neutral_to_vaccinated,9,-6.783105949020801,0.00390625,p<0.01
600,75pct_credulous,trans_infected_to_vaccinated,9,-1.3840985165813768,0.42578125,ns
600,75pct_credulous,trans_vaccinated_to_infected,9,-0.14673145764355333,0.42578125,ns
600_llm,25pct_cautious,pct_infected_susc,9,-3.7977880058363747,0.07421875,p<0.10
600_llm,25pct_cautious,pct_vaccinated_susc,9,-2.651162488609214,0.91015625,ns
600_llm,25pct_cautious,vax_effectiveness_susc,9,1.3522683908342552,0.49609375,ns
600_llm,25pct_cautious,trans_neutral_to_infected,9,-3.0508061788144007,0.42578125,ns
600_llm,25pct_cautious,trans_neutral_to_vaccinated,9,5.3036965383169985,0.49609375,ns
600_llm,25pct_cautious,trans_infected_to_vaccinated,9,-2.2546486553622507,0.359375,ns
600_llm,25pct_cautious,trans_vaccinated_to_infected,9,0.0017582958596528266,1.0,ns
600_llm,25pct_credulous,pct_infected_susc,9,1.265997578813518,0.65234375,ns
600_llm,25pct_credulous,pct_vaccinated_susc,9,-11.852017048270394,0.0546875,p<0.10
600_llm,25pct_credulous,vax_effectiveness_susc,9,-8.342111537231046,0.07421875,p<0.10
600_llm,25pct_credulous,trans_neutral_to_infected,9,8.091373856593815,0.01953125,p<0.05
600_llm,25pct_credulous,trans_neutral_to_vaccinated,9,-8.671126642271414,0.0390625,p<0.05
600_llm,25pct_credulous,trans_infected_to_vaccinated,9,0.6055320027950013,0.734375,ns
600_llm,25pct_credulous,trans_vaccinated_to_infected,9,-0.025779217117400166,1.0,ns
600_llm,50pct_cautious,pct_infected_susc,9,-12.34093491006961,0.00390625,p<0.01
600_llm,50pct_cautious,pct_vaccinated_susc,9,12.42461324976936,0.00390625,p<0.01
600_llm,50pct_cautious,vax_effectiveness_susc,9,14.71233366200339,0.00390625,p<0.01
600_llm,50pct_cautious,trans_neutral_to_infected,9,-17.98449301757999,0.00390625,p<0.01
600_llm,50pct_cautious,trans_neutral_to_vaccinated,9,23.767177423381245,0.00390625,p<0.01
600_llm,50pct_cautious,trans_infected_to_vaccinated,9,-5.713671293309878,0.02734375,p<0.05
600_llm,50pct_cautious,trans_vaccinated_to_infected,9,-0.06901311249137336,0.25,ns
600_llm,50pct_credulous,pct_infected_susc,9,4.088893745945981,0.07421875,p<0.10
600_llm,50pct_credulous,pct_vaccinated_susc,9,-13.575227483939946,0.00390625,p<0.01
