variant,thread_id,config,metric,p_value,stars
600,524922729485848576,25pct_cautious,pct_infected_total,1.0,ns
600,524922729485848576,25pct_cautious,pct_vaccinated_total,0.5065551690490403,ns
600,524922729485848576,25pct_cautious,pct_infected_susc,1.0,ns
600,524922729485848576,25pct_cautious,pct_vaccinated_susc,0.5065551690490403,ns
600,524922729485848576,25pct_cautious,vax_effectiveness_total,0.5065551690490403,ns
600,524922729485848576,25pct_cautious,vax_effectiveness_susc,0.5065551690490403,ns
600,524922729485848576,25pct_cautious,max_cycles,1.0,ns
600,524922729485848576,25pct_cautious,avg_cycles,0.4,ns
600,524922729485848576,25pct_cautious,total_messages,0.1,ns
600,524922729485848576,25pct_cautious,pct_msg_vaccinated,0.7,ns
600,524922729485848576,25pct_cautious,pct_msg_infected,0.7,ns
600,524922729485848576,25pct_cautious,trans_neutral_to_infected,0.7,ns
600,524922729485848576,25pct_cautious,trans_neutral_to_vaccinated,0.4,ns
600,524922729485848576,25pct_cautious,trans_infected_to_vaccinated,0.4,ns
600,524922729485848576,25pct_cautious,trans_vaccinated_to_infected,1.0,ns
600,524922729485848576,25pct_cautious,messages_per_cycle,1.0,ns
600,524922729485848576,25pct_credulous,pct_infected_total,0.8247780950825133,ns
600,524922729485848576,25pct_credulous,pct_vaccinated_total,1.0,ns
600,524922729485848576,25pct_credulous,pct_infected_susc,0.8247780950825133,ns
600,524922729485848576,25pct_credulous,pct_vaccinated_susc,1.0,ns
600,524922729485848576,25pct_credulous,vax_effectiveness_total,1.0,ns
600,524922729485848576,25pct_credulous,vax_effectiveness_susc,1.0,ns
600,524922729485848576,25pct_credulous,max_cycles,1.0,ns
600,524922729485848576,25pct_credulous,avg_cycles,0.7,ns
600,524922729485848576,25pct_credulous,total_messages,0.2,ns
600,524922729485848576,25pct_credulous,pct_msg_vaccinated,1.0,ns
600,524922729485848576,25pct_credulous,pct_msg_infected,1.0,ns
600,524922729485848576,25pct_credulous,trans_neutral_to_infected,0.7,ns
600,524922729485848576,25pct_credulous,trans_neutral_to_vaccinated,0.4,ns
600,524922729485848576,25pct_credulous,trans_infected_to_vaccinated,1.0,ns
600,524922729485848576,25pct_credulous,trans_vaccinated_to_infected,0.7,ns
600,524922729485848576,25pct_credulous,messages_per_cycle,1.0,ns
600,524922729485848576,50pct_cautious,pct_infected_total,0.1,ns
600,524922729485848576,50pct_cautious,pct_vaccinated_total,0.1,ns
600,524922729485848576,50pct_cautious,pct_infected_susc,0.1,ns
600,524922729485848576,50pct_cautious,pct_vaccinated_susc,0.1,ns
600,524922729485848576,50pct_cautious,vax_effectiveness_total,0.1,ns
600,524922729485848576,50pct_cautious,vax_effectiveness_susc,0.1,ns
600,524922729485848576,50pct_cautious,max_cycles,1.0,ns
600,524922729485848576,50pct_cautious,avg_cycles,0.4,ns
600,524922729485848576,50pct_cautious,total_messages,0.2,ns
600,524922729485848576,50pct_cautious,pct_msg_vaccinated,0.1,ns
600,524922729485848576,50pct_cautious,pct_msg_infected,0.1,ns
600,524922729485848576,50pct_cautious,trans_neutral_to_infected,0.4,ns
600,524922729485848576,50pct_cautious,trans_neutral_to_vaccinated,0.2,ns
600,524922729485848576,50pct_cautious,trans_infected_to_vaccinated,0.2,ns
600,524922729485848576,50pct_cautious,trans_vaccinated_to_infected,1.0,ns
600,524922729485848576,50pct_cautious,messages_per_cycle,1.0,ns
600,524922729485848576,50pct_credulous,pct_infected_total,0.4,ns
600,524922729485848576,50pct_credulous,pct_vaccinated_total,0.26828588367711736,ns
600,524922729485848576,50pct_credulous,pct_infected_susc,0.4,ns
600,524922729485848576,50pct_credulous,pct_vaccinated_susc,0.26828588367711736,ns
600,524922729485848576,50pct_credulous,vax_effectiveness_total,0.4,ns
600,524922729485848576,50pct_credulous,vax_effectiveness_susc,0.4,ns
600,524922729485848576,50pct_credulous,max_cycles,0.4,ns
600,524922729485848576,50pct_credulous,avg_cycles,0.2,ns
600,524922729485848576,50pct_credulous,total_messages,0.7,ns
600,524922729485848576,50pct_credulous,pct_msg_vaccinated,0.2,ns
600,524922729485848576,50pct_credulous,pct_msg_infected,0.2,ns
600,524922729485848576,50pct_credulous,trans_neutral_to_infected,0.1,ns
600,524922729485848576,50pct_credulous,trans_neutral_to_vaccinated,0.1,ns
600,524922729485848576,50pct_credulous,trans_infected_to_vaccinated,0.7,ns
600,524922729485848576,50pct_credulous,trans_vaccinated_to_infected,0.4,ns
600,524922729485848576,50pct_credulous,messages_per_cycle,0.4,ns
600,524922729485848576,75pct_cautious,pct_infected_total,0.1,ns
600,524922729485848576,75pct_cautious,pct_vaccinated_total,0.1,ns
600,524922729485848576,75pct_cautious,pct_infected_susc,0.1,ns
600,524922729485848576,75pct_cautious,pct_vaccinated_susc,0.1,ns
600,524922729485848576,75pct_cautious,vax_effectiveness_total,0.1,ns
600,524922729485848576,75pct_cautious,vax_effectiveness_susc,0.1,ns
600,524922729485848576,75pct_cautious,max_cycles,0.7,ns
600,524922729485848576,75pct_cautious,avg_cycles,0.2,ns
600,524922729485848576,75pct_cautious,total_messages,0.1,ns
600,524922729485848576,75pct_cautious,pct_msg_vaccinated,0.1,ns
600,524922729485848576,75pct_cautious,pct_msg_infected,0.1,ns
600,524922729485848576,75pct_cautious,trans_neutral_to_infected,0.1,ns
600,524922729485848576,75pct_cautious,trans_neutral_to_vaccinated,0.1,ns
600,524922729485848576,75pct_cautious,trans_infected_to_vaccinated,0.1,ns
600,524922729485848576,75pct_cautious,trans_vaccinated_to_infected,0.7,ns
600,524922729485848576,75pct_cautious,messages_per_cycle,0.7,ns
600,524922729485848576,75pct_credulous,pct_infected_total,0.1,ns
600,524922729485848576,75pct_credulous,pct_vaccinated_total,0.1,ns
600,524922729485848576,75pct_credulous,pct_infected_susc,0.1,ns
600,524922729485848576,75pct_credulous,pct_vaccinated_susc,0.1,ns
600,524922729485848576,75pct_credulous,vax_effectiveness_total,0.1,ns
600,524922729485848576,75pct_credulous,vax_effectiveness_susc,0.1,ns
600,524922729485848576,75pct_credulous,max_cycles,0.4,ns
600,524922729485848576,75pct_credulous,avg_cycles,0.4,ns
600,524922729485848576,75pct_credulous,total_messages,0.4,ns
600,524922729485848576,75pct_credulous,pct_msg_vaccinated,0.1,ns
600,524922729485848576,75pct_credulous,pct_msg_infected,0.1,ns
600,524922729485848576,75pct_credulous,trans_neutral_to_infected,0.1,ns
600,524922729485848576,75pct_credulous,trans_neutral_to_vaccinated,0.1,ns
600,524922729485848576,75pct_credulous,trans_infected_to_vaccinated,0.4,ns
600,524922729485848576,75pct_credulous,trans_vaccinated_to_infected,1.0,ns
600,524922729485848576,75pct_credulous,messages_per_cycle,0.4,ns
600,524949443607412737,25pct_cautious,pct_infected_total,0.4,ns
600,524949443607412737,25pct_cautious,pct_vaccinated_total,0.7,ns
600,524949443607412737,25pct_cautious,pct_infected_susc,0.4,ns
600,524949443607412737,25pct_cautious,pct_vaccinated_susc,0.7,ns
600,524949443607412737,25pct_cautious,vax_effectiveness_total,1.0,ns
600,524949443607412737,25pct_cautious,vax_effectiveness_susc,1.0,ns
600,524949443607412737,25pct_cautious,max_cycles,0.4,ns
600,524949443607412737,25pct_cautious,avg_cycles,1.0,ns
600,524949443607412737,25pct_cautious,total_messages,0.4,ns
600,524949443607412737,25pct_cautious,pct_msg_vaccinated,0.7,ns
600,524949443607412737,25pct_cautious,pct_msg_infected,0.7,ns
600,524949443607412737,25pct_cautious,trans_neutral_to_infected,0.7,ns
600,524949443607412737,25pct_cautious,trans_neutral_to_vaccinated,0.4,ns
600,524949443607412737,25pct_cautious,trans_infected_to_vaccinated,0.7,ns
600,524949443607412737,25pct_cautious,trans_vaccinated_to_infected,1.0,ns
600,524949443607412737,25pct_cautious,messages_per_cycle,0.4,ns
600,524949443607412737,25pct_credulous,pct_infected_total,0.4,ns
600,524949443607412737,25pct_credulous,pct_vaccinated_total,1.0,ns
600,524949443607412737,25pct_credulous,pct_infected_susc,0.4,ns
600,524949443607412737,25pct_credulous,pct_vaccinated_susc,1.0,ns
600,524949443607412737,25pct_credulous,vax_effectiveness_total,1.0,ns
600,524949443607412737,25pct_credulous,vax_effectiveness_susc,1.0,ns
600,524949443607412737,25pct_credulous,max_cycles,0.4,ns
600,524949443607412737,25pct_credulous,avg_cycles,0.7,ns
600,524949443607412737,25pct_credulous,total_messages,1.0,ns
600,524949443607412737,25pct_credulous,pct_msg_vaccinated,1.0,ns
600,524949443607412737,25pct_credulous,pct_msg_infected,1.0,ns
600,524949443607412737,25pct_credulous,trans_neutral_to_infected,0.4,ns
600,524949443607412737,25pct_credulous,trans_neutral_to_vaccinated,1.0,ns
600,524949443607412737,25pct_credulous,trans_infected_to_vaccinated,0.4,ns
600,524949443607412737,25pct_credulous,trans_vaccinated_to_infected,0.2,ns
600,524949443607412737,25pct_credulous,messages_per_cycle,0.4,ns
600,524949443607412737,50pct_cautious,pct_infected_total,0.1,ns
600,524949443607412737,50pct_cautious,pct_vaccinated_total,0.7,ns
600,524949443607412737,50pct_cautious,pct_infected_susc,0.1,ns
600,524949443607412737,50pct_cautious,pct_vaccinated_susc,0.7,ns
600,524949443607412737,50pct_cautious,vax_effectiveness_total,0.7,ns
600,524949443607412737,50pct_cautious,vax_effectiveness_susc,0.7,ns
600,524949443607412737,50pct_cautious,max_cycles,0.7,ns
600,524949443607412737,50pct_cautious,avg_cycles,0.7,ns
600,524949443607412737,50pct_cautious,total_messages,1.0,ns
600,524949443607412737,50pct_cautious,pct_msg_vaccinated,0.2,ns
600,524949443607412737,50pct_cautious,pct_msg_infected,0.2,ns
600,524949443607412737,50pct_cautious,trans_neutral_to_infected,0.7,ns
600,524949443607412737,50pct_cautious,trans_neutral_to_vaccinated,0.2,ns
600,524949443607412737,50pct_cautious,trans_infected_to_vaccinated,0.4,ns
600,524949443607412737,50pct_cautious,trans_vaccinated_to_infected,1.0,ns
600,524949443607412737,50pct_cautious,messages_per_cycle,1.0,ns
